console,game,rank,publisher,critic_score,units_sold,release_date
GB,Bram Stoker's Dracula,117,Sony Imagesoft,,,1993-09-01
GB,Lemmings & Oh No! More Lemmings,118,Take-Two Interactive,,,2000-12-01
GB,Tetris Blast,119,Nintendo,,,1996-01-01
GB,Bob the Builder: Fix it Fun!,120,THQ,,,2001-09-01
GB,Capcom Quiz: Hatena? no Daibouken,121,Capcom,,,1990-12-21
GB,Dance Dance Revolution GB Disney Mix,122,Konami,,,2001-03-29
GB,Tom & Jerry,123,Hi Tech Expressions,,,1992-10-01
GB,Batman Beyond: Return of the Joker,124,Ubisoft,,,2000-11-20
GB,Chalvo 55,125,Unknown,,,1997-02-21
GB,Marble Madness (GBC),126,Midway Games,,,1999-12-01
GB,Turn and Burn: F-14 Dogfight Simulator,127,Absolute Entertainment,,,1992-05-01
GB,B-Daman Baku Gaiden: Victory e no Michi,128,Media Factory,,,1999-01-29
GB,Chou Majin Eiyuuden Wataru: Mazekko Monster 2,129,Banpresto,,,1998-08-07
GB,Nakayoshi Cooking Series 1: Oishii Cake Okusan,130,MTO,,,2000-12-15
GB,Xerd no Densetsu 2: Xerd!! Gishin no Ryouiki,131,Victory Lap Games,,,1993-02-19
GB,Cool Ball,132,Takara,,,1994-08-01
GB,Hook,133,Sony Imagesoft,,,1992-01-01
GB,M & M's Mini Madness,134,Majesco,,,2000-12-08
GB,World Destruction League: Thunder Tanks,135,3DO,,,2000-12-12
GB,Daiku no Gensan: Robot Teikoku no Yabou,136,Irem Software Engineering,,,1994-03-25
GB,Iron Man / X-O Manowar in Heavy Metal,137,Acclaim Entertainment,,,1996-08-01
GB,Papyrus,138,Ubisoft,,,2000-01-01
GB,Cyborg Kuro-Chan 2: White Woods no Gyakushuu,139,Konami,,,2000-10-19
GB,Dodge Boy,140,Tonkin House,,,1991-12-06
GB,Janshirou 2,141,Sammy Corporation,,,1994-03-18
GB,Dancing Furby,142,Tomy Corporation,,,1999-12-24
GB,Razor Freestyle Scooter,143,Crave Entertainment,,,2001-05-10
GB,Chee-Chai Alien,144,Unknown,,,2001-02-23
GB,Dragon Ball Z: Goku Hishouden,145,Bandai,,,1994-11-25
GB,Jungle Strike,146,Malibu Games,,,1995-06-01
GB,Wayne's World,147,THQ,,,1993-11-01
GB,Perfect Dark,148,Rare,5.3,,2000-08-01
GB,Tech Deck Skateboarding,149,Activision,,,2001-03-25
GB,X,150,Nintendo,,,1992-05-29
GB,Eitango Target 1900,151,Imagineer,,,1996-12-13
GB,Konami GB Collection Vol. 4,152,Konami,,,1998-03-19
GB,Jaguar Mishin Sashi Senyou Soft: Mario Family,153,Jaguar,,,2001-09-10
GB,007: The World is not Enough,154,Electronic Arts,,,2001-09-11
GB,Tom and Jerry: Mouse Hunt,155,Conspiracy Entertainment,,,2001-03-14
GB,Arcade Classic 4: Defender / Joust,156,Nintendo,,,1995-10-01
GB,Nettou Garou Densetsu 2,157,Takara,,,1994-07-29
GB,Lock n' Chase,158,Sunsoft,,,1990-01-02
GB,ATV Racing,159,Datel,,,2001-02-23
GB,Oddworld Adventures 2,160,GT Interactive,,,2000-01-01
GB,Tsuriiko!!,161,ASCII Entertainment,,,2001-07-19
GB,Purikura Pocket: Fukanzen Joshikousei Manual,162,Atlus,,,1997-10-17
GB,Toonsylvania,163,Ubisoft,,,2000-06-01
GB,The Flintstones: King Rock Treasure Island,164,Taito,,,1993-02-01
GB,Marmalade Boy,165,Bandai,,,1995-01-27
GB,Alfred's Adventure,166,SCi,,,2000-09-01
GB,Mahoujin GuruGuru,167,Takuyo,,,1995-04-28
GB,Scooby-Doo! Classic Creep Capers,168,THQ,,,2001-02-20
GB,Pocket Racing,169,Virgin Interactive,,,2000-01-01
GB,Turok 2: Seeds of Evil,170,Acclaim Entertainment,,,1998-12-31
GB,Gakken Rekishi 512,171,Imagineer,,,1998-05-29
GB,Mini-4 Boy,172,J-Wing,,,1996-12-27
GB,Zoids Densetsu,173,Tomy Corporation,,,1990-06-15
GB,Jeremy McGrath Supercross 2000,174,Acclaim Entertainment,,,2000-03-01
GB,Shinseiki Evangelion Mahjong Hokan Keikaku,175,King Records,,,2000-09-29
GB,Disney's Aladdin (GBC),176,Ubisoft,,,2000-11-07
GB,Alien Olympics 2044 AD,177,Ocean,,,1992-01-01
GB,Genjin Collection,178,Hudson Soft,,,1996-11-22
GB,Mr. Chin's Gourmet Paradise,179,Romstar,,,1990-01-02
GB,From TV Animation One Piece: Maboroshi no Grand Line Boukenki!,180,Banpresto,,,2002-06-28
