Pos,Game,Game.1,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Unnamed: 11_level_2,Console_Scraped
109,Super Bomberman R,Super Bomberman R,,Konami Digital Entertainment,,6.3,,,03rd Mar 17,24th Mar 18,,NS
110,Triangle Strategy,Triangle Strategy Read the review,,Nintendo,7.5,,,0.80m,04th Mar 22,08th Apr 22,,NS
111,Just Dance 2019,Just Dance 2019,,Ubisoft,,,,,23rd Oct 18,28th Sep 18,,NS
112,Just Dance 2018,Just Dance 2018,,Ubisoft,,8.0,,,24th Oct 17,06th Apr 18,,NS
113,FIFA 19,FIFA 19,,Electronic Arts,,5.9,,,28th Sep 18,12th Sep 18,,NS
114,Sonic Forces,Sonic Forces,,Sega,,5.4,,,07th Nov 17,11th Feb 18,,NS
115,Monster Hunter Generations Ultimate,Monster Hunter Generations Ultimate Read the review,,Capcom,4.0,7.7,,,28th Aug 18,30th Aug 18,,NS
116,Fortnite,Fortnite,,Warner Bros. Interactive Entertainment,,8.5,,,16th Nov 18,18th Jun 18,,NS
117,Rayman Legends,Rayman Legends,,Ubisoft,,4.5,,,12th Sep 17,02nd Jan 19,,NS
118,Diablo III: Eternal Collection,Diablo III: Eternal Collection Read the review,,Blizzard Entertainment,8.0,9.0,,,02nd Nov 18,13th Sep 18,,NS
119,LEGO Marvel Super Heroes 2,LEGO Marvel Super Heroes 2,,Warner Bros. Interactive Entertainment,,,,,14th Nov 17,11th Feb 18,,NS
120,LEGO City Undercover,LEGO City Undercover,,Warner Bros. Interactive Entertainment,,8.0,,,04th Apr 17,24th Feb 18,,NS
121,LEGO The Incredibles,LEGO The Incredibles,,Warner Bros. Interactive Entertainment,,6.5,,,15th Jun 18,06th Nov 18,,NS
122,LEGO Worlds,LEGO Worlds,,Warner Bros. Interactive Entertainment,,5.0,,,05th Sep 17,25th Feb 18,,NS
123,Ultra Street Fighter II: The Final Challengers,Ultra Street Fighter II: The Final Challengers,,Capcom,,7.0,,,26th May 17,04th Jan 18,,NS
124,Starlink: Battle for Atlas,Starlink: Battle for Atlas,,Ubisoft,,7.5,6.0,,16th Oct 18,22nd Mar 19,,NS
