Pos,Game,Game.1,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Unnamed: 11_level_2,Console_Scraped
1,Tetris,Tetris,,Nintendo,,,,35.00m,31st Jul 89,,,GB
2,Pokémon Red / Green / Blue Version,Pokémon Red / Green / Blue Version,,Nintendo,,9.4,,31.38m,30th Sep 98,,,GB
3,Pokémon Gold / Silver Version,Pokémon Gold / Silver Version,,Nintendo,,9.2,,23.10m,14th Oct 00,,,GB
4,Super Mario Land,Super Mario Land,,Nintendo,,,,18.14m,01st Aug 89,,,GB
5,Pokémon Yellow: Special Pikachu Edition,Pokémon Yellow: Special Pikachu Edition,,Nintendo,,8.7,,14.64m,19th Oct 99,,,GB
6,Super Mario Land 2: 6 Golden Coins,Super Mario Land 2: 6 Golden Coins,,Nintendo,,9.0,,11.18m,02nd Nov 92,,,GB
7,Dr. Mario,Dr. Mario,,Nintendo,,,,5.34m,01st Dec 90,,,GB
8,Super Mario Land 3: Wario Land,Super Mario Land 3: Wario Land,,Nintendo,,7.9,,5.19m,09th Feb 94,,,GB
9,Kirby's Dream Land,Kirby's Dream Land,,Nintendo,,,,5.13m,01st Aug 92,,,GB
10,Super Mario Bros. Deluxe,Super Mario Bros. Deluxe,,Nintendo,,9.7,,5.07m,30th Apr 99,,,GB
11,Donkey Kong Land,Donkey Kong Land,,Nintendo,,,,3.91m,26th Jul 95,,,GB
12,The Legend of Zelda: Link's Awakening,The Legend of Zelda: Link's Awakening,,Nintendo,,,,3.83m,01st Aug 93,,,GB
13,Pokémon Trading Card Game,Pokémon Trading Card Game,,Nintendo,,8.3,,3.72m,10th Apr 00,,,GB
14,F-1 Race,F-1 Race,,Nintendo,,,,3.41m,01st Feb 91,,,GB
15,Yoshi,Yoshi,,Nintendo,,,,3.12m,01st Jul 92,,,GB
16,Donkey Kong,Donkey Kong,,Nintendo,,,,3.07m,01st Jun 94,,,GB
17,Kirby's Dream Land 2,Kirby's Dream Land 2,,Nintendo,,,,2.36m,01st May 95,,,GB
18,Dragon Quest Monsters,Dragon Quest Monsters,,Eidos Interactive,,,,2.35m,31st Dec 99,27th Mar 18,,GB
19,Donkey Kong Land 2,Donkey Kong Land 2,,Nintendo,,,,2.35m,01st Sep 96,,,GB
20,Wario Land 3,Wario Land 3,,Nintendo,,,,2.20m,01st May 00,,,GB
21,Kirby's Pinball Land,Kirby's Pinball Land,,Nintendo,,,,2.19m,28th Nov 93,,,GB
22,Yu-Gi-Oh: Duel Monsters 4,Yu-Gi-Oh: Duel Monsters 4,,Konami,,,,2.18m,07th Dec 00,,,GB
23,Golf,Golf,,Nintendo,,,,2.12m,01st Feb 90,,,GB
24,Tennis,Tennis,,Nintendo,,,,1.99m,01st Aug 89,,,GB
25,Alleyway,Alleyway,,Nintendo,,,,1.94m,01st Aug 89,,,GB
26,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,,Electronic Arts,,,,,21st Nov 01,,,GB
27,Metroid II: Return of Samus,Metroid II: Return of Samus,,Nintendo,,7.3,,1.72m,26th Aug 91,,,GB
28,Yu-Gi-Oh! Duel Monsters,Yu-Gi-Oh! Duel Monsters,,Konami,,,,1.61m,16th Dec 98,,,GB
29,Baseball,Baseball,,Nintendo,,,,1.61m,01st Aug 89,,,GB
30,Dragon Quest Monsters 2: Cobi's Journey,Dragon Quest Monsters 2: Cobi's Journey,,Enix,,,,1.60m,15th Sep 01,06th May 18,,GB
31,Yoshi's Cookie,Yoshi's Cookie,,Nintendo,,,,1.53m,01st Jan 93,,,GB
32,Wario Land II,Wario Land II,,Nintendo,,,,1.48m,02nd Mar 98,,,GB
33,Game de Hakken!! Tamagotchi 2,Game de Hakken!! Tamagotchi 2,,Bandai,,,,,17th Oct 97,,,GB
34,Tamagotchi,Tamagotchi,,Bandai,,,,,26th Jun 97,,,GB
35,Disney's DuckTales,Disney's DuckTales,,Capcom,,,,1.43m,01st Nov 90,,,GB
36,The Final Fantasy Legend,The Final Fantasy Legend,,Square,,6.0,,1.37m,01st Sep 90,,,GB
37,Tony Hawk's Pro Skater,Tony Hawk's Pro Skater,,Activision,,7.1,,,29th Feb 00,,,GB
38,Yakuman,Yakuman,,Nintendo,,,,1.28m,21st Apr 89,,,GB
39,Tetris 2,Tetris 2,,Nintendo,,,,1.24m,01st Jan 93,08th Jan 19,,GB
40,Kirby Tilt 'n' Tumble,Kirby Tilt 'n' Tumble,,Nintendo,,,,1.23m,11th Apr 01,,,GB
41,Game & Watch Gallery 3,Game & Watch Gallery 3,,Nintendo,,,,1.22m,16th Apr 99,,,GB
42,Game & Watch Gallery 2,Game & Watch Gallery 2,,Nintendo,,,,1.22m,15th Jun 98,,,GB
43,SolarStriker,SolarStriker,,Nintendo,,,,1.20m,01st Jan 90,,,GB
44,Mario Tennis,Mario Tennis,,Nintendo,,,,1.18m,16th Jan 01,,,GB
45,Qix,Qix,,Nintendo,,,,1.15m,01st May 90,,,GB
46,Super R.C. Pro-Am,Super R.C. Pro-Am,,Nintendo,,,,1.14m,01st Oct 91,,,GB
47,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,,Konami,,,,1.10m,08th Jul 99,,,GB
48,Donkey Kong Land III,Donkey Kong Land III,,Nintendo,,,,1.03m,01st Sep 97,,,GB
49,Mega Man II,Mega Man II,,Capcom,,,,1.00m,29th Jan 92,,,GB
50,Mega Man: Dr. Wily's Revenge,Mega Man: Dr. Wily's Revenge,,Capcom,,,,1.00m,01st Dec 91,,,GB
51,Game & Watch Gallery,Game & Watch Gallery,,Nintendo,,,,1.00m,01st May 97,,,GB
52,Pokémon Card GB2: GRdan Sanjou,Pokémon Card GB2: GRdan Sanjou,,Nintendo,,,,,28th Mar 01,,,GB
53,Yu-Gi-Oh! Dark Duel Stories,Yu-Gi-Oh! Dark Duel Stories,,Konami,,6.2,,,18th Mar 02,,,GB
54,Dragon Quest III,Dragon Quest III,,Enix,,,,,16th Jul 01,06th May 18,,GB
55,Dragon Warrior I&II,Dragon Warrior I&II,,Enix,,,,,27th Sep 00,,,GB
56,Final Fantasy Legend III,Final Fantasy Legend III,,Square,,7.0,,,29th Sep 93,,,GB
57,Yoshi,Yoshi,,Nintendo,,,,,01st Jul 92,,,GB
58,Mario's Picross,Mario's Picross,,Nintendo,,,,,01st Mar 95,,,GB
59,Medarot 2: Kabuto / Kuwagata Version,Medarot 2: Kabuto / Kuwagata Version,,Imagineer,,,,,23rd Jul 99,,,GB
60,Batman,Batman,,Sunsoft,,,,0.50m,01st Jun 90,,,GB
61,Medarot: Kabuto / Kuwagata Version,Medarot: Kabuto / Kuwagata Version,,Imagineer,,,,,28th Nov 97,,,GB
62,Dragon Warrior Monsters 2: Tara's Adventure,Dragon Warrior Monsters 2: Tara's Adventure,,Enix,,,,,15th Sep 01,,,GB
63,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,,Banpresto,,,,,27th Apr 01,,,GB
64,Wario Land II (GBC),Wario Land II (GBC),,Nintendo,,,,,02nd Mar 99,,,GB
65,Final Fantasy Adventure,Final Fantasy Adventure,,Square,,9.0,,,01st Nov 91,,,GB
66,Mini-Yonku GB: Let's & Go!!,Mini-Yonku GB: Let's & Go!!,,ASCII Entertainment,,,,,23rd May 97,,,GB
67,Picross 2,Picross 2,,Nintendo,,,,,19th Oct 96,,,GB
68,Extra Bases,Extra Bases,,Bandai,,,,,01st Apr 91,,,GB
69,Kirby's Block Ball,Kirby's Block Ball,,Nintendo,,,,,01st May 96,,,GB
70,Mario Golf,Mario Golf,,Nintendo,,,,,01st Oct 99,,,GB
71,Gameboy Gallery,Gameboy Gallery,,Nintendo,,,,,27th Apr 95,,,GB
72,Hamster Tarou,Hamster Tarou,,Jorudan,,,,,29th Oct 99,,,GB
73,Donkey Kong GB: Dinky Kong & Dixie Kong,Donkey Kong GB: Dinky Kong & Dixie Kong,,Nintendo,,,,,28th Jan 00,,,GB
74,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,,ChunSoft,,,,,22nd Nov 96,,,GB
75,Medarot 3: Kabuto / Kuwagata Version,Medarot 3: Kabuto / Kuwagata Version,,Imagineer,,,,,23rd Jul 00,,,GB
76,Power Pro Kun Pocket 2,Power Pro Kun Pocket 2,,Konami,,,,,30th Mar 00,,,GB
77,Harvest Moon GB,Harvest Moon GB,,Natsume,,,,,01st Aug 98,,,GB
78,Tetris 2 (weekly jp sales),Tetris 2 (weekly jp sales),,Nintendo,,,,,01st Jan 93,,,GB
79,Tetris Attack,Tetris Attack,,Nintendo,,,,,01st Aug 96,,,GB
80,Kirby's Star Stacker,Kirby's Star Stacker,,Nintendo,,,,,24th Jan 97,,,GB
81,Trade & Battle: Card Hero,Trade & Battle: Card Hero,,Nintendo,,,,,21st Feb 00,,,GB
82,GameBoy Wars,GameBoy Wars,,Nintendo,,,,,21st May 91,,,GB
83,Mega Man III,Mega Man III,,Capcom,,,,,01st Jan 92,,,GB
84,Power Pro Kun Pocket,Power Pro Kun Pocket,,Konami,,,,,01st Apr 99,,,GB
85,Sakura Wars GB,Sakura Wars GB,,Media Factory,,,,,28th Jul 00,,,GB
86,Yu-Gi-Oh! Monster Capture GB,Yu-Gi-Oh! Monster Capture GB,,Konami,,,,,13th Apr 00,,,GB
87,Tales of Phantasia: Narikiri Dungeon,Tales of Phantasia: Narikiri Dungeon,,Namco,,,,0.14m,10th Nov 00,,,GB
88,Star Ocean: Blue Sphere,Star Ocean: Blue Sphere,,Enix,,,,0.13m,28th Jun 01,,,GB
89,Mega Man IV,Mega Man IV,,Capcom,,,,,01st Jan 93,,,GB
90,Harvest Moon 2 GBC,Harvest Moon 2 GBC,,Natsume,,,,,11th Sep 00,,,GB
91,Medarot 4: Kabuto / Kuwagata Version,Medarot 4: Kabuto / Kuwagata Version,,Imagineer,,,,,23rd Mar 01,,,GB
92,Mega Man Xtreme,Mega Man Xtreme,,Capcom,,,,,11th Jan 01,,,GB
93,Mega Man Xtreme 2,Mega Man Xtreme 2,,Capcom,,,,,30th Oct 01,,,GB
94,Metal Gear Solid,Metal Gear Solid,,Konami,,,,,24th Apr 00,,,GB
95,Power Pro GB,Power Pro GB,,Konami,,,,,26th Mar 98,,,GB
96,Teenage Mutant Ninja Turtles II: Back from the Sewers,Teenage Mutant Ninja Turtles II: Back from the Sewers,,Konami,,,,,01st Dec 91,,,GB
97,Doraemon Quiz Boy 2,Doraemon Quiz Boy 2,,Epoch,,,,,04th Oct 02,,,GB
98,Sylvanian Families 2: Irozuku Mori no Fantasy,Sylvanian Families 2: Irozuku Mori no Fantasy,,Epoch,,,,,22nd Dec 00,,,GB
99,Love Hina Pocket,Love Hina Pocket,,Marvelous Interactive,,,,,04th Aug 00,,,GB
100,Bomberman Collection,Bomberman Collection,,Hudson Soft,,,,,21st Jul 96,,,GB
101,Othello World,Othello World,,Unknown,,,,,30th Sep 94,,,GB
102,LEGO Alpha Team,LEGO Alpha Team,,LEGO Media,,,,,01st Nov 00,,,GB
103,Project S-11,Project S-11,,Sunsoft,,,,,14th Dec 00,,,GB
104,Black Forest Tale,Black Forest Tale,,Sachen,,,,,01st Jan 93,,,GB
105,Pipe Dream,Pipe Dream,,Bullet Proof Software,,,,,01st Sep 90,,,GB
106,Wizardry Gaiden I: Joou no Junan,Wizardry Gaiden I: Joou no Junan,,ASCII Entertainment,,,,,01st Oct 91,,,GB
107,European Super League,European Super League,,Virgin Interactive,,,,,30th Mar 01,,,GB
108,Prophecy: The Viking Child,Prophecy: The Viking Child,,GameTek,,,,,01st Jul 92,,,GB
109,Skate or Die: Bad 'N Rad,Skate or Die: Bad 'N Rad,,Konami,,,,,01st Sep 90,,,GB
110,NBA in the Zone 2000,NBA in the Zone 2000,,Konami,,,,,27th Apr 00,,,GB
111,Tesserae,Tesserae,,GameTek,,,,,01st Aug 93,,,GB
112,Road Rash,Road Rash,,Ocean,,,,,01st Oct 96,,,GB
113,Sports Collection,Sports Collection,,Tonkin House,,,,,27th Sep 96,,,GB
114,NFL Blitz 2001,NFL Blitz 2001,,Midway Games,,,,,12th Sep 00,,,GB
115,seaQuest DSV,seaQuest DSV,,Malibu Games,,,,,01st Nov 94,,,GB
116,Super Black Bass,Super Black Bass,,Hot-B,,,,,01st Nov 98,,,GB
117,Bram Stoker's Dracula,Bram Stoker's Dracula,,Sony Imagesoft,,,,,01st Sep 93,,,GB
118,Lemmings & Oh No! More Lemmings,Lemmings & Oh No! More Lemmings,,Take-Two Interactive,,,,,01st Dec 00,,,GB
119,Tetris Blast,Tetris Blast,,Nintendo,,,,,01st Jan 96,,,GB
120,Bob the Builder: Fix it Fun!,Bob the Builder: Fix it Fun!,,THQ,,,,,01st Sep 01,,,GB
121,Capcom Quiz: Hatena? no Daibouken,Capcom Quiz: Hatena? no Daibouken,,Capcom,,,,,21st Dec 90,,,GB
122,Dance Dance Revolution GB Disney Mix,Dance Dance Revolution GB Disney Mix,,Konami,,,,,29th Mar 01,,,GB
123,Tom & Jerry,Tom & Jerry,,Hi Tech Expressions,,,,,01st Oct 92,,,GB
124,Batman Beyond: Return of the Joker,Batman Beyond: Return of the Joker,,Ubisoft,,,,,20th Nov 00,,,GB
125,Chalvo 55,Chalvo 55,,Unknown,,,,,21st Feb 97,,,GB
126,Marble Madness (GBC),Marble Madness (GBC),,Midway Games,,,,,01st Dec 99,,,GB
127,Turn and Burn: F-14 Dogfight Simulator,Turn and Burn: F-14 Dogfight Simulator,,Absolute Entertainment,,,,,01st May 92,,,GB
128,B-Daman Baku Gaiden: Victory e no Michi,B-Daman Baku Gaiden: Victory e no Michi,,Media Factory,,,,,29th Jan 99,,,GB
129,Chou Majin Eiyuuden Wataru: Mazekko Monster 2,Chou Majin Eiyuuden Wataru: Mazekko Monster 2,,Banpresto,,,,,07th Aug 98,,,GB
130,Nakayoshi Cooking Series 1: Oishii Cake Okusan,Nakayoshi Cooking Series 1: Oishii Cake Okusan,,MTO,,,,,15th Dec 00,,,GB
131,Xerd no Densetsu 2: Xerd!! Gishin no Ryouiki,Xerd no Densetsu 2: Xerd!! Gishin no Ryouiki,,Victory Lap Games,,,,,19th Feb 93,,,GB
132,Cool Ball,Cool Ball,,Takara,,,,,01st Aug 94,,,GB
133,Hook,Hook,,Sony Imagesoft,,,,,01st Jan 92,,,GB
134,M & M's Mini Madness,M & M's Mini Madness,,Majesco,,,,,08th Dec 00,,,GB
135,World Destruction League: Thunder Tanks,World Destruction League: Thunder Tanks,,3DO,,,,,12th Dec 00,,,GB
136,Daiku no Gensan: Robot Teikoku no Yabou,Daiku no Gensan: Robot Teikoku no Yabou,,Irem Software Engineering,,,,,25th Mar 94,,,GB
137,Iron Man / X-O Manowar in Heavy Metal,Iron Man / X-O Manowar in Heavy Metal,,Acclaim Entertainment,,,,,01st Aug 96,,,GB
138,Papyrus,Papyrus,,Ubisoft,,,,,01st Jan 00,,,GB
139,Cyborg Kuro-Chan 2: White Woods no Gyakushuu,Cyborg Kuro-Chan 2: White Woods no Gyakushuu,,Konami,,,,,19th Oct 00,,,GB
140,Dodge Boy,Dodge Boy,,Tonkin House,,,,,06th Dec 91,,,GB
141,Janshirou 2,Janshirou 2,,Sammy Corporation,,,,,18th Mar 94,,,GB
142,Dancing Furby,Dancing Furby,,Tomy Corporation,,,,,24th Dec 99,,,GB
143,Razor Freestyle Scooter,Razor Freestyle Scooter,,Crave Entertainment,,,,,10th May 01,,,GB
144,Chee-Chai Alien,Chee-Chai Alien,,Unknown,,,,,23rd Feb 01,,,GB
145,Dragon Ball Z: Goku Hishouden,Dragon Ball Z: Goku Hishouden,,Bandai,,,,,25th Nov 94,,,GB
146,Jungle Strike,Jungle Strike,,Malibu Games,,,,,01st Jun 95,,,GB
147,Wayne's World,Wayne's World,,THQ,,,,,01st Nov 93,,,GB
148,Perfect Dark,Perfect Dark,,Rare,,5.3,,,01st Aug 00,,,GB
149,Tech Deck Skateboarding,Tech Deck Skateboarding,,Activision,,,,,25th Mar 01,,,GB
150,X,X,,Nintendo,,,,,29th May 92,,,GB
151,Eitango Target 1900,Eitango Target 1900,,Imagineer,,,,,13th Dec 96,,,GB
152,Konami GB Collection Vol. 4,Konami GB Collection Vol. 4,,Konami,,,,,19th Mar 98,,,GB
153,Jaguar Mishin Sashi Senyou Soft: Mario Family,Jaguar Mishin Sashi Senyou Soft: Mario Family,,Jaguar,,,,,10th Sep 01,,,GB
154,007: The World is not Enough,007: The World is not Enough,,Electronic Arts,,,,,11th Sep 01,,,GB
155,Tom and Jerry: Mouse Hunt,Tom and Jerry: Mouse Hunt,,Conspiracy Entertainment,,,,,14th Mar 01,,,GB
156,Arcade Classic 4: Defender / Joust,Arcade Classic 4: Defender / Joust,,Nintendo,,,,,01st Oct 95,,,GB
157,Nettou Garou Densetsu 2,Nettou Garou Densetsu 2,,Takara,,,,,29th Jul 94,,,GB
158,Lock n' Chase,Lock n' Chase,,Sunsoft,,,,,02nd Jan 90,,,GB
159,ATV Racing,ATV Racing,,Datel,,,,,23rd Feb 01,,,GB
160,Oddworld Adventures 2,Oddworld Adventures 2,,GT Interactive,,,,,01st Jan 00,,,GB
161,Tsuriiko!!,Tsuriiko!!,,ASCII Entertainment,,,,,19th Jul 01,,,GB
162,Purikura Pocket: Fukanzen Joshikousei Manual,Purikura Pocket: Fukanzen Joshikousei Manual,,Atlus,,,,,17th Oct 97,,,GB
163,Toonsylvania,Toonsylvania,,Ubisoft,,,,,01st Jun 00,,,GB
164,The Flintstones: King Rock Treasure Island,The Flintstones: King Rock Treasure Island,,Taito,,,,,01st Feb 93,,,GB
165,Marmalade Boy,Marmalade Boy,,Bandai,,,,,27th Jan 95,,,GB
166,Alfred's Adventure,Alfred's Adventure,,SCi,,,,,01st Sep 00,,,GB
167,Mahoujin GuruGuru,Mahoujin GuruGuru,,Takuyo,,,,,28th Apr 95,,,GB
168,Scooby-Doo! Classic Creep Capers,Scooby-Doo! Classic Creep Capers,,THQ,,,,,20th Feb 01,,,GB
169,Pocket Racing,Pocket Racing,,Virgin Interactive,,,,,01st Jan 00,,,GB
170,Turok 2: Seeds of Evil,Turok 2: Seeds of Evil,,Acclaim Entertainment,,,,,31st Dec 98,,,GB
171,Gakken Rekishi 512,Gakken Rekishi 512,,Imagineer,,,,,29th May 98,,,GB
172,Mini-4 Boy,Mini-4 Boy,,J-Wing,,,,,27th Dec 96,,,GB
173,Zoids Densetsu,Zoids Densetsu,,Tomy Corporation,,,,,15th Jun 90,,,GB
174,Jeremy McGrath Supercross 2000,Jeremy McGrath Supercross 2000,,Acclaim Entertainment,,,,,01st Mar 00,,,GB
175,Shinseiki Evangelion Mahjong Hokan Keikaku,Shinseiki Evangelion Mahjong Hokan Keikaku,,King Records,,,,,29th Sep 00,,,GB
176,Disney's Aladdin (GBC),Disney's Aladdin (GBC),,Ubisoft,,,,,07th Nov 00,,,GB
177,Alien Olympics 2044 AD,Alien Olympics 2044 AD,,Ocean,,,,,01st Jan 92,,,GB
178,Genjin Collection,Genjin Collection,,Hudson Soft,,,,,22nd Nov 96,,,GB
179,Mr. Chin's Gourmet Paradise,Mr. Chin's Gourmet Paradise,,Romstar,,,,,02nd Jan 90,,,GB
180,From TV Animation One Piece: Maboroshi no Grand Line Boukenki!,From TV Animation One Piece: Maboroshi no Grand Line Boukenki!,,Banpresto,,,,,28th Jun 02,,,GB
181,Soukoban Densetsu: Hikari to Yamo no Kuni,Soukoban Densetsu: Hikari to Yamo no Kuni,,J-Wing,,,,,25th Dec 99,,,GB
182,Shikakei Atama o Kore Kusuru,Shikakei Atama o Kore Kusuru,,Imagineer,,,,,26th Jun 98,,,GB
183,Bonk's Adventure,Bonk's Adventure,,Hudson Soft,,,,,01st Dec 92,,,GB
184,Great Greed,Great Greed,,Namco,,,,,01st Jan 93,,,GB
185,Ninja Boy 2,Ninja Boy 2,,Culture Brain,,,,,01st Apr 93,,,GB
186,Mahou Kishi Rayearth,Mahou Kishi Rayearth,,Tomy Corporation,,,,,02nd Jun 95,,,GB
187,Super 1 Karting,Super 1 Karting,,Midas Interactive Entertainment,,,,,03rd Aug 01,,,GB
188,Pocket Color Mahjong,Pocket Color Mahjong,,Bottom Up,,,,,22nd Dec 99,,,GB
189,Batman: Return of the Joker,Batman: Return of the Joker,,Sunsoft,,,,,01st May 92,,,GB
190,Higashio Osamu Kanshuu Pro Yakyuu Stadium '91,Higashio Osamu Kanshuu Pro Yakyuu Stadium '91,,Tokuma Shoten,,,,,09th Aug 91,,,GB
191,Qui Qui,Qui Qui,,Mahou,,,,,26th Mar 99,,,GB
192,Disney's TaleSpin,Disney's TaleSpin,,Capcom,,,,,01st Dec 92,,,GB
193,WWF Raw (1994),WWF Raw (1994),,Accolade,,,,,01st Dec 94,06th Jan 18,,GB
194,Macross 7:Ginger no Heart o Furuwa Sero!!,Macross 7:Ginger no Heart o Furuwa Sero!!,,Epoch,,,,,17th Mar 00,,,GB
195,Tootuff,Tootuff,,Infogrames,,,,,15th Jun 01,,,GB
196,Battle City,Battle City,,Namco,,,,,09th Aug 91,,,GB
197,FIFA: Road to World Cup 98,FIFA: Road to World Cup 98,,THQ,,,,,01st Jan 97,,,GB
198,Lunar Lander,Lunar Lander,,Pack-In-Video,,,,,21st Sep 90,,,GB
199,Army Men: Air Combat,Army Men: Air Combat,,3DO,,,,,01st Nov 00,,,GB
200,Kotobattle: Tengai no Moribito,Kotobattle: Tengai no Moribito,,Alphastar,,,,,09th Mar 01,,,GB
201,Tweety's High-Flying Adventure,Tweety's High-Flying Adventure,,Kemco,,,,,01st Nov 00,,,GB
202,Shin SD Gundam Gaiden: Knight Gundam Monogatari,Shin SD Gundam Gaiden: Knight Gundam Monogatari,,Bandai,,,,,09th Sep 94,,,GB
203,Zool,Zool,,GameTek,,,,,01st Jan 93,,,GB
204,Frank Thomas Big Hurt Baseball,Frank Thomas Big Hurt Baseball,,Acclaim Entertainment,,,,,01st Jan 95,,,GB
205,Kikou Keisatsu Metal Jack,Kikou Keisatsu Metal Jack,,Takara,,,,,08th Jan 92,,,GB
206,Antz World Sportz,Antz World Sportz,,LSP Games,,,,,01st Jan 01,,,GB
207,Ms. Pac-Man: Special Color Edition,Ms. Pac-Man: Special Color Edition,,Namco,,,,,02nd Nov 99,,,GB
208,Senkai Ibunroku Juuntsutsumi Taisen,Senkai Ibunroku Juuntsutsumi Taisen,,Banpresto,,,,,24th Nov 00,,,GB
209,Asteroids (GBC),Asteroids (GBC),,Activision,,,,,01st Sep 99,,,GB
210,Small Soldiers,Small Soldiers,,THQ,,,,,01st Jan 98,,,GB
211,Gamera: The Guardian of the Universe,Gamera: The Guardian of the Universe,,Angel Studios,,,,,03rd Mar 95,,,GB
212,Monopoly,Monopoly,,Parker Bros.,,,,,01st Dec 91,,,GB
213,Zoboomafoo: Playtime in Zobooland,Zoboomafoo: Playtime in Zobooland,,Encore,,,,,01st Oct 01,,,GB
214,Mary-Kate and Ashley: Winner's Circle,Mary-Kate and Ashley: Winner's Circle,,Acclaim Entertainment,,,,,02nd Mar 01,,,GB
215,The Shutokou Racing,The Shutokou Racing,,Pony Canyon,,,,,18th Dec 98,,,GB
216,Kininkou Maroku Oni,Kininkou Maroku Oni,,Banpresto,,,,,08th Dec 90,,,GB
217,The Amazing Spider-Man 2,The Amazing Spider-Man 2,,LJN,,,,,01st Aug 92,,,GB
218,Ghostbusters II,Ghostbusters II,,Activision,,,,,01st Dec 90,,,GB
219,Roger Clemens' MVP Baseball,Roger Clemens' MVP Baseball,,LJN,,,,,01st Sep 92,,,GB
220,Kaijuu-On Godzilla,Kaijuu-On Godzilla,,Bandai,,,,,17th Dec 93,,,GB
221,Spacenet: Cosmo Red / Blue,Spacenet: Cosmo Red / Blue,,Imagineer,,,,,16th Mar 01,,,GB
222,Koukou Nyuushideru Jun: Rekishi Nendai Anki Point 240,Koukou Nyuushideru Jun: Rekishi Nendai Anki Point 240,,Imagineer,,,,,26th Sep 97,,,GB
223,Cyraid,Cyraid,,Nexoft,,,,,01st Mar 91,,,GB
224,Penguin Wars,Penguin Wars,,ASCII Entertainment,,,,,02nd Jul 90,,,GB
225,Front Row,Front Row,,KID,,,,,01st Oct 99,,,GB
226,720°,720°,,Midway Games,,,,,01st Mar 99,,,GB
227,Super Doll Rika-Chan: Kisekae Taisakusen,Super Doll Rika-Chan: Kisekae Taisakusen,,Unknown,,,,,06th Oct 00,,,GB
228,Sanrio Uranai Party,Sanrio Uranai Party,,Imagineer,,,,,05th Dec 97,,,GB
229,Battle of Kingdom,Battle of Kingdom,,Meldac,,,,,13th Dec 91,,,GB
230,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,,THQ,,,,,01st Oct 92,,,GB
231,NBA Jam Tournament Edition,NBA Jam Tournament Edition,,Acclaim Entertainment,,,,,01st Jun 95,,,GB
232,Metal Walker,Metal Walker,,Capcom,,,,,01st Feb 01,,,GB
233,The Powerpuff Girls: Paint the Townsville Green,The Powerpuff Girls: Paint the Townsville Green,,BAM! Entertainment,,,,,01st Nov 00,,,GB
234,Medarot 2: Parts Collection,Medarot 2: Parts Collection,,Imagineer,,,,,29th Oct 99,,,GB
235,Berlitz French Translator,Berlitz French Translator,,GameTek,,,,,01st Sep 91,,,GB
236,Pac-Man,Pac-Man,,Namco,,,,,01st Apr 91,,,GB
237,Kelly Club: Clubhouse Fun,Kelly Club: Clubhouse Fun,,Knowledge Adventure,,,,,31st Oct 01,,,GB
238,Titus the Fox (GBC),Titus the Fox (GBC),,Titus,,,,,01st Nov 00,,,GB
239,Bo Jackson's Hit and Run! Baseball and Football,Bo Jackson's Hit and Run! Baseball and Football,,THQ,,,,,01st Jun 91,,,GB
240,Pocket Bomberman (GBC),Pocket Bomberman (GBC),,Hudson Soft,,,,,10th Dec 98,,,GB
241,Looney Tunes: Carrot Crazy,Looney Tunes: Carrot Crazy,,Infogrames,,,,,01st Apr 99,,,GB
242,Record of Lodoss War: Eiyuu Kishiden GB,Record of Lodoss War: Eiyuu Kishiden GB,,Tomy Corporation,,,,,11th Dec 98,,,GB
243,R-Type,R-Type,,Irem Software Engineering,,,,,01st May 91,,,GB
244,Snoopy's Magic Show,Snoopy's Magic Show,,Kemco,,,,,01st Oct 90,,,GB
245,Hercules: The Legendary Journeys,Hercules: The Legendary Journeys,,Titus,,,,,01st Apr 02,,,GB
246,New Ghostbusters II,New Ghostbusters II,,Activision,,,,,01st Jan 90,,,GB
247,Rolan's Curse,Rolan's Curse,,Sammy Corporation,,,,,01st Jan 91,,,GB
248,Spot: The Cool Adventure,Spot: The Cool Adventure,,Virgin Interactive,,,,,06th Jan 93,,,GB
249,Initial D Gaiden,Initial D Gaiden,,Kodansha,,,,,06th Mar 98,,,GB
250,The Sword of Hope,The Sword of Hope,,Seika,,,,,01st Jun 91,,,GB
1,Pokémon Ruby / Sapphire Version,Pokémon Ruby / Sapphire Version,,Nintendo,,8.8,,16.22m,17th Mar 03,,,GBA
2,Pokémon FireRed / LeafGreen Version,Pokémon FireRed / LeafGreen Version,,Nintendo,,8.3,,12.00m,07th Sep 04,,,GBA
3,Pokémon Emerald Version,Pokémon Emerald Version,,Nintendo,,7.7,,7.06m,30th Apr 05,,,GBA
4,Mario Kart: Super Circuit,Mario Kart: Super Circuit,,Nintendo,,9.3,,5.91m,26th Aug 01,,,GBA
5,Super Mario World: Super Mario Advance 2,Super Mario World: Super Mario Advance 2,,Nintendo,,9.4,,5.69m,09th Feb 02,,,GBA
